id_grupo,id_materia,p1,p2,p3,o,pf,e1,e2,esp,matricula_hash
1553,7281,4.4,10.0,6.0,7.0,6.9,-10.0,-10.0,-10.0,60585e92cf12ab8b3e79af3d54573974d33236ed348e6c5f5c3c8be9d6029b78
1553,7281,-5.0,3.3,6.0,4.0,3.5,0.0,-8.0,-10.0,1a560c514b35b7a464c08e0de616f41ab6de7be1cfe5261b720454b095234f83
1553,7281,2.0,9.0,5.0,5.0,5.1,-10.0,-10.0,8.0,479052b1ddb76ada449a9d904c596259ab9f4af4471a8df16cfb7f8cc7d6a6c6
1553,7281,2.0,9.0,2.0,4.0,4.1,5.8,3.2,6.0,7ef263d379375461597246b2c07c074302cf81533f4fdd0927141953403e4ae2
1553,7281,0.0,7.8,-5.0,-5.0,1.3,7.5,-10.0,-10.0,19d769c96d396ba962c4bc75435456983edae31c3f9a3ef26a295f0b8642201c
1553,7281,2.0,10.0,9.0,7.0,7.0,-10.0,-10.0,-10.0,56527d578ce8df46e636f53314c44baa2d6b3efa45c1c66d15b9bbb1703d1a07
1553,7281,3.3,9.0,6.0,7.0,6.5,-10.0,-10.0,-10.0,82f21fa3046878b9872e38931c31a504a468e4d76b9f81fe6199de4ea5bf504a
1553,7281,2.0,6.8,9.5,8.0,7.0,-10.0,-10.0,-10.0,15d78b0465c5ea07709b58aac7eaadfb0703b31f0c426dee217bb6cb5c304e32
1553,7281,2.0,6.0,9.0,7.0,6.3,-10.0,-10.0,-10.0,7c82004502dec6374b54f5f51439e1ca356fb3c6544ee3b672ccde402fb8a7f3
1553,7281,6.0,8.8,9.0,5.5,6.7,-10.0,-10.0,-10.0,cabb5690c64f6b86a9908d0a791dec4851cab38d3115a214b46234bacccfe4d8
1553,7419,6.3,10.0,10.0,7.8,8.2,-10.0,-10.0,-10.0,4238bbbef327745cabe1d4a16c4a2d30fec7e1573dc4f031bb2c54902d0662df
1553,7419,9.4,10.0,9.3,10.0,9.7,-10.0,-10.0,-10.0,747b3bf10e3280eaa8839f46839aea6838f0f5645a8f3f65b52df6c5988a36b2
1553,7419,5.3,7.2,6.0,6.5,6.3,-10.0,-10.0,-10.0,dd52c256a3b619e29ddebf0bf1d40a198cd5712c99d2a4388832d4f352eec399
1553,7419,9.0,6.5,7.5,6.0,6.8,-10.0,-10.0,-10.0,60585e92cf12ab8b3e79af3d54573974d33236ed348e6c5f5c3c8be9d6029b78
1553,7419,4.4,6.8,7.7,7.5,6.9,-10.0,-10.0,-10.0,1a560c514b35b7a464c08e0de616f41ab6de7be1cfe5261b720454b095234f83
1553,7419,9.3,10.0,9.8,10.0,9.8,-10.0,-10.0,-10.0,479052b1ddb76ada449a9d904c596259ab9f4af4471a8df16cfb7f8cc7d6a6c6
1553,7419,8.2,9.7,9.3,8.8,8.9,-10.0,-10.0,-10.0,7ef263d379375461597246b2c07c074302cf81533f4fdd0927141953403e4ae2
1553,7419,10.0,8.6,10.0,9.5,9.5,-10.0,-10.0,-10.0,19d769c96d396ba962c4bc75435456983edae31c3f9a3ef26a295f0b8642201c
1553,7419,9.0,10.0,10.0,10.0,9.8,-10.0,-10.0,-10.0,56527d578ce8df46e636f53314c44baa2d6b3efa45c1c66d15b9bbb1703d1a07
1553,7419,9.4,4.4,7.5,10.0,8.5,-10.0,-10.0,-10.0,15d78b0465c5ea07709b58aac7eaadfb0703b31f0c426dee217bb6cb5c304e32
1553,7419,7.5,5.0,5.7,1.5,3.7,3.5,6.8,-10.0,7c82004502dec6374b54f5f51439e1ca356fb3c6544ee3b672ccde402fb8a7f3
1553,7419,10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,cabb5690c64f6b86a9908d0a791dec4851cab38d3115a214b46234bacccfe4d8
1553,7420,8.8,10.0,2.5,9.6,8.3,-10.0,-10.0,-10.0,4238bbbef327745cabe1d4a16c4a2d30fec7e1573dc4f031bb2c54902d0662df
1553,7420,1.3,5.9,6.0,7.6,6.0,-10.0,-10.0,-10.0,dd52c256a3b619e29ddebf0bf1d40a198cd5712c99d2a4388832d4f352eec399
1553,7420,3.3,4.5,4.5,8.3,6.2,-10.0,-10.0,-10.0,60585e92cf12ab8b3e79af3d54573974d33236ed348e6c5f5c3c8be9d6029b78
1553,7420,2.3,5.7,7.5,10.0,7.5,-10.0,-10.0,-10.0,1a560c514b35b7a464c08e0de616f41ab6de7be1cfe5261b720454b095234f83
1553,7420,7.8,8.5,7.0,10.0,8.8,-10.0,-10.0,-10.0,19d769c96d396ba962c4bc75435456983edae31c3f9a3ef26a295f0b8642201c
1553,7420,8.5,8.5,9.0,10.0,9.3,-10.0,-10.0,-10.0,56527d578ce8df46e636f53314c44baa2d6b3efa45c1c66d15b9bbb1703d1a07
1553,7420,6.8,6.6,1.5,8.3,6.6,-10.0,-10.0,-10.0,15d78b0465c5ea07709b58aac7eaadfb0703b31f0c426dee217bb6cb5c304e32
1553,7420,1.3,2.0,2.0,0.0,0.8,3.0,2.5,7.0,7c82004502dec6374b54f5f51439e1ca356fb3c6544ee3b672ccde402fb8a7f3
1553,7420,5.3,5.7,6.0,9.2,7.4,-10.0,-10.0,-10.0,cabb5690c64f6b86a9908d0a791dec4851cab38d3115a214b46234bacccfe4d8
