id_grupo,id_materia,p1,p2,p3,o,pf,e1,e2,esp,matricula_hash
1773,8279,5.0,2.5,0.0,0.0,1.2,6.0,-10.0,-10.0,4238bbbef327745cabe1d4a16c4a2d30fec7e1573dc4f031bb2c54902d0662df
1773,8279,5.5,8.3,9.0,9.0,8.3,-10.0,-10.0,-10.0,747b3bf10e3280eaa8839f46839aea6838f0f5645a8f3f65b52df6c5988a36b2
1773,8279,5.5,3.3,10.0,10.0,8.1,-10.0,-10.0,-10.0,60585e92cf12ab8b3e79af3d54573974d33236ed348e6c5f5c3c8be9d6029b78
1773,8279,2.0,10.0,9.0,9.0,8.0,-10.0,-10.0,-10.0,479052b1ddb76ada449a9d904c596259ab9f4af4471a8df16cfb7f8cc7d6a6c6
1773,8279,2.0,9.0,9.0,9.0,7.8,-10.0,-10.0,-10.0,7ef263d379375461597246b2c07c074302cf81533f4fdd0927141953403e4ae2
1773,8279,6.5,8.3,10.0,10.0,9.1,-10.0,-10.0,-10.0,56527d578ce8df46e636f53314c44baa2d6b3efa45c1c66d15b9bbb1703d1a07
1773,8279,5.0,6.7,9.0,9.0,7.9,-10.0,-10.0,-10.0,15d78b0465c5ea07709b58aac7eaadfb0703b31f0c426dee217bb6cb5c304e32
1773,8279,2.5,0.0,8.5,9.0,6.3,-10.0,-10.0,-10.0,7c82004502dec6374b54f5f51439e1ca356fb3c6544ee3b672ccde402fb8a7f3
1773,8279,8.0,8.3,7.5,8.0,7.9,-10.0,-10.0,-10.0,cabb5690c64f6b86a9908d0a791dec4851cab38d3115a214b46234bacccfe4d8
1773,8280,3.0,5.0,7.0,8.0,6.5,-10.0,-10.0,-10.0,8901240c90f9ba26ba90a8e3efdbc491b849d9fdf109ada72886e928eea58a50
1773,8280,3.5,-8.0,-8.0,0.0,0.5,0.0,7.0,-10.0,4238bbbef327745cabe1d4a16c4a2d30fec7e1573dc4f031bb2c54902d0662df
1773,8280,7.4,5.0,9.0,7.0,7.0,-10.0,-10.0,-10.0,747b3bf10e3280eaa8839f46839aea6838f0f5645a8f3f65b52df6c5988a36b2
1773,8280,3.4,3.0,10.0,8.0,6.7,-10.0,-10.0,-10.0,af7e3e2050129a7a8199b2f6538019b49f05b8483e4d010acd3dbd907b02e2cc
1773,8280,5.0,6.0,7.5,8.0,7.0,-10.0,-10.0,-10.0,ab6006e255ad6c0d02d0638b27022c58c177c7e3cf63e7313b62419a6b65be83
1773,8280,5.3,6.0,7.5,8.0,7.1,-10.0,-10.0,-10.0,78c27daa9b9a802418b8e2588d393dd29e3fe853c411800052c73e10916cbac6
1773,8280,3.3,4.0,10.0,9.5,7.6,-10.0,-10.0,-10.0,8f567926040bb4e6f3e0d8651f25e3a9d912056e581b191ccd114dcc0b189b0d
1773,8280,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.0,60585e92cf12ab8b3e79af3d54573974d33236ed348e6c5f5c3c8be9d6029b78
1773,8280,0.0,-8.0,-8.0,-8.0,0.0,-8.0,-8.0,-10.0,479052b1ddb76ada449a9d904c596259ab9f4af4471a8df16cfb7f8cc7d6a6c6
1773,8280,4.0,4.0,4.5,0.0,2.0,0.0,0.0,-8.0,7ef263d379375461597246b2c07c074302cf81533f4fdd0927141953403e4ae2
1773,8280,5.0,5.0,10.0,8.0,7.3,-10.0,-10.0,-10.0,49cd64153de78d82f09b737f1955177be2462622540a7179d38ca839865107e9
1773,8280,4.0,7.0,10.0,10.0,8.5,-10.0,-10.0,-10.0,56527d578ce8df46e636f53314c44baa2d6b3efa45c1c66d15b9bbb1703d1a07
1773,8280,2.2,4.0,4.0,0.0,1.7,2.5,4.0,7.0,15d78b0465c5ea07709b58aac7eaadfb0703b31f0c426dee217bb6cb5c304e32
